School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
Furness High School,216,2160,HS,High School,1900 S. 3rd St.,Philadelphia,PA,19148,215-400-8300,215-400-8301,District,N/A,657,philasd.org/furness,'9-12',Neighborhood,HS-4,Network 13,Network 13,,34,32.98,98.00,WATCH,2nd out of 8,46th out of 85,4,1.06,30.00,INTERVENE,4th out of 8,45th out of 72,51,19.42,38.00,REINFORCE,2nd out of 8,34th out of 85,56,11.26,20.00,REINFORCE,5th out of 8,50th out of 85,12,1.24,10.00,INTERVENE,5th out of 8,66th out of 82,13,261,0.00,8.00,0,INTERVENE,19,133,6,261,0.37,1.50,25,WATCH,14,204,0.00,8.00,0,INTERVENE,3,204,0.18,1.50,12,INTERVENE,16,195,0.00,8.00,0,INTERVENE,1,195,0.03,1.50,2,INTERVENE,8,316,0.48,1.50,32,WATCH,0.91,4.14,6.50,64,REINFORCE,1.57,5.57,6.50,86,MODEL,-5.07,0.00,6.50,0,INTERVENE,95,389,6.63,8.00,83,MODEL,53,38,1.52,6.00,25,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.87,0.07,1.50,4,INTERVENE,2.79,1.50,1.50,100,MODEL,-1.81,0.00,1.50,0,INTERVENE,32,753,1.96,8.00,25,WATCH,26,753,14,753,6,753,22,753,86,619,6.00,6.00,100,MODEL,100,753,0.50,0.50,100,MODEL,86,753,1.34,2.50,54,REINFORCE,42,0.42,1.00,42,WATCH,81,0.81,1.00,81,MODEL,19,0.23,1.00,23,INTERVENE,74,194,0.00,4.50,0,INTERVENE,39,135,0.37,1.50,25,WATCH,10,134,0.00,1.00,0,INTERVENE,19,134,71,134,7,134,0.00,1.00,0,INTERVENE,77,134,16,134,57,134,0.65,1.00,65,REINFORCE,23,0.23,1.00,23,INTERVENE,0,100,75,46
Franklin Learning Center,229,2290,HS,High School,616 N. 15th St.,Philadelphia,PA,19130,215-400-7570,215-400-7571,District,N/A,917,philasd.org/flc,'9-12',Special Admit,HS-5,Network 3,Network 1,,52,47.49,92.00,REINFORCE,6th out of 14,21st out of 85,20,6.14,30.00,INTERVENE,8th out of 14,19th out of 72,70,22.48,32.00,REINFORCE,3rd out of 14,18th out of 85,70,14.05,20.00,REINFORCE,9th out of 14,28th out of 85,48,4.82,10.00,WATCH,14th out of 14,31st out of 82,17,359,0.00,8.00,0,INTERVENE,21,187,3,359,0.17,1.50,11,INTERVENE,37,235,1.70,8.00,21,INTERVENE,11,235,0.66,1.50,44,WATCH,53,213,3.31,8.00,41,WATCH,4,213,0.23,1.50,15,INTERVENE,6,218,0.08,1.50,5,INTERVENE,-5.88,0.00,6.50,0,INTERVENE,3.64,6.50,6.50,100,MODEL,8.25,6.50,6.50,100,MODEL,94,630,6.48,8.00,81,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.43,0.00,1.50,0,INTERVENE,2.06,1.50,1.50,100,MODEL,5.67,1.50,1.50,100,MODEL,49,968,4.67,8.00,58,REINFORCE,29,968,8,968,5,968,9,968,95,873,6.00,6.00,100,MODEL,100,968,0.50,0.50,100,MODEL,99,968,2.41,2.50,96,MODEL,48,0.48,1.00,48,WATCH,0,0.00,1.00,0,INTERVENE,6,0.00,1.00,0,INTERVENE,88,223,2.32,4.50,52,REINFORCE,59,205,0.91,1.50,61,REINFORCE,33,204,0.58,1.00,58,REINFORCE,11,204,55,204,6,204,0.00,1.00,0,INTERVENE,80,204,13,204,61,204,0.72,1.00,72,REINFORCE,29,0.29,1.00,29,WATCH,4,96,50,46
Girard Academic Music Program,241,2410,HS,High School,2136 W. Ritner St.,Philadelphia,PA,19145,215-400-8230,215-400-8231,District,N/A,263,philasd.org/gamp,'9-12',Special Admit,HS-6,Network 1,Network 1,,70,63.68,90.50,REINFORCE,4th out of 10,5th out of 85,59,16.86,28.50,REINFORCE,4th out of 10,5th out of 72,64,20.34,32.00,REINFORCE,5th out of 10,25th out of 85,87,17.36,20.00,MODEL,5th out of 10,9th out of 85,91,9.12,10.00,MODEL,2nd out of 10,2nd out of 82,37,38,1.68,8.00,21,INTERVENE,38,37,11,38,0.63,1.50,42,WATCH,76,70,5.57,8.00,70,REINFORCE,26,70,1.50,1.50,100,MODEL,92,61,7.18,8.00,90,MODEL,5,61,0.30,1.50,20,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.52,0.00,6.50,0,INTERVENE,4.42,6.50,6.50,100,MODEL,0.31,2.84,6.50,44,WATCH,100,195,8.00,8.00,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.55,0.00,1.50,0,INTERVENE,2.09,1.50,1.50,100,MODEL,2.07,1.50,1.50,100,MODEL,69,264,7.77,8.00,97,MODEL,23,264,5,264,2,264,2,264,99,256,6.00,6.00,100,MODEL,100,264,0.50,0.50,100,MODEL,99,264,2.41,2.50,96,MODEL,69,0.69,1.00,69,REINFORCE,0,0.00,1.00,0,INTERVENE,5,0.00,1.00,0,INTERVENE,100,62,4.50,4.50,100,MODEL,81,62,1.50,1.50,100,MODEL,32,62,0.56,1.00,56,REINFORCE,29,62,39,62,52,62,1.00,1.00,100,MODEL,45,62,3,62,85,62,1.00,1.00,100,MODEL,57,0.57,1.00,57,REINFORCE,37,63,66,72
Academy at Palumbo,262,2620,HS,High School,1100 Catharine St.,Philadelphia,PA,19147,215-400-8130,215-400-8131,District,N/A,1061,philasd.org/palumbo,'9-12',Special Admit,HS-5,Network 1,Network 1,,69,63.71,92.00,REINFORCE,2nd out of 14,6th out of 85,51,15.22,30.00,REINFORCE,2nd out of 14,7th out of 72,68,21.73,32.00,REINFORCE,4th out of 14,19th out of 85,93,18.52,20.00,MODEL,1st out of 14,1st out of 85,82,8.24,10.00,MODEL,2nd out of 14,6th out of 82,50,371,3.01,8.00,38,WATCH,52,303,18,371,1.05,1.50,70,REINFORCE,42,376,2.23,8.00,28,WATCH,9,376,0.54,1.50,36,WATCH,85,263,6.52,8.00,81,MODEL,6,263,0.36,1.50,24,INTERVENE,56,32,1.50,1.50,100,MODEL,4.93,6.50,6.50,100,MODEL,-10.10,0.00,6.50,0,INTERVENE,5.20,6.50,6.50,100,MODEL,97,799,7.17,8.00,90,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.87,0.07,1.50,4,INTERVENE,-5.61,0.00,1.50,0,INTERVENE,2.98,1.50,1.50,100,MODEL,68,1066,7.76,8.00,97,MODEL,21,1066,4,1066,2,1066,3,1066,97,1037,6.00,6.00,100,MODEL,100,1066,0.50,0.50,99,MODEL,99,1066,2.40,2.50,96,MODEL,51,0.51,1.00,51,REINFORCE,75,0.75,1.00,75,MODEL,35,0.62,1.00,62,REINFORCE,97,234,3.88,4.50,86,MODEL,79,226,1.48,1.50,99,MODEL,39,227,0.73,1.00,73,REINFORCE,31,227,30,227,45,227,0.87,1.00,87,MODEL,54,227,1,227,85,227,1.00,1.00,100,MODEL,27,0.27,1.00,27,WATCH,43,57,90,51
Science Leadership Academy,265,2650,HS,High School,55 N. 22nd St.,Philadelphia,PA,19103,215-400-7830,215-400-7831,District,N/A,501,philasd.org/sla,'9-12',Special Admit,HS-6,Innovation,Innovation,,57,51.34,90.50,REINFORCE,7th out of 10,17th out of 85,55,15.70,28.50,REINFORCE,5th out of 10,6th out of 72,29,9.35,32.00,WATCH,9th out of 10,54th out of 85,89,17.84,20.00,MODEL,3rd out of 10,5th out of 85,84,8.45,10.00,MODEL,4th out of 10,4th out of 82,52,95,3.16,8.00,39,WATCH,52,95,25,95,1.50,1.50,100,MODEL,58,116,3.78,8.00,47,WATCH,18,116,1.09,1.50,72,REINFORCE,79,123,5.89,8.00,74,REINFORCE,5,123,0.29,1.50,20,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-1.45,0.00,6.50,0,INTERVENE,-5.92,0.00,6.50,0,INTERVENE,-0.62,0.82,6.50,13,INTERVENE,99,371,7.86,8.00,98,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.95,0.00,1.50,0,INTERVENE,-2.46,0.00,1.50,0,INTERVENE,0.34,0.67,1.50,45,WATCH,65,506,7.14,8.00,89,MODEL,26,506,6,506,2,506,2,506,99,483,6.00,6.00,100,MODEL,100,506,0.50,0.50,100,MODEL,99,506,2.45,2.50,98,MODEL,59,0.59,1.00,59,REINFORCE,87,0.87,1.00,87,MODEL,22,0.29,1.00,29,WATCH,98,120,4.20,4.50,93,MODEL,80,119,1.50,1.50,100,MODEL,28,120,0.44,1.00,44,WATCH,3,120,70,120,58,120,1.00,1.00,100,MODEL,40,120,3,120,83,120,1.00,1.00,100,MODEL,32,0.32,1.00,32,WATCH,23,73,81,61
Constitution High School,267,2670,HS,High School,18 S. 7th St.,Philadelphia,PA,19106,215-400-7850,215-400-7851,District,N/A,385,philasd.org/constitutionhs,'9-12',Citywide,HS-5,Network 3,Network 1,,50,45.08,90.50,REINFORCE,8th out of 14,24th out of 85,13,3.78,28.50,INTERVENE,9th out of 14,23rd out of 72,65,20.89,32.00,REINFORCE,5th out of 14,22nd out of 85,70,13.95,20.00,REINFORCE,10th out of 14,29th out of 85,65,6.46,10.00,REINFORCE,7th out of 14,14th out of 82,22,158,0.22,8.00,3,INTERVENE,30,81,5,158,0.30,1.50,20,INTERVENE,27,190,0.68,8.00,9,INTERVENE,3,190,0.16,1.50,11,INTERVENE,43,115,2.26,8.00,28,WATCH,3,115,0.16,1.50,10,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,3.94,6.50,6.50,100,MODEL,0.56,3.38,6.50,52,REINFORCE,-0.36,1.39,6.50,21,INTERVENE,97,265,7.30,8.00,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.71,0.86,1.50,57,REINFORCE,1.95,1.48,1.50,98,MODEL,-1.97,0.00,1.50,0,INTERVENE,49,394,4.68,8.00,58,REINFORCE,31,394,11,394,4,394,5,394,99,375,6.00,6.00,100,MODEL,99,394,0.47,0.50,95,MODEL,97,394,2.27,2.50,91,MODEL,53,0.53,1.00,53,REINFORCE,0,0.00,1.00,0,INTERVENE,1,0.00,1.00,0,INTERVENE,95,110,3.68,4.50,82,MODEL,68,105,1.16,1.50,77,MODEL,18,105,0.20,1.00,20,INTERVENE,47,105,35,105,14,105,0.11,1.00,11,INTERVENE,83,105,3,105,77,105,1.00,1.00,100,MODEL,30,0.30,1.00,30,WATCH,6,94,86,54
The Science Leadership Academy at Beeber,268,2680,HS,High School,5925 Malvern Ave.,Philadelphia,PA,19131,215-400-7270,215-400-7271,District,N/A,480,philasd.org/slabeeber,'9-12',Special Admit,HS-5,Innovation,Innovation,,50,45.43,90.50,REINFORCE,7th out of 14,23rd out of 85,23,6.69,28.50,INTERVENE,7th out of 14,17th out of 72,48,15.35,32.00,WATCH,8th out of 14,36th out of 85,84,16.78,20.00,MODEL,4th out of 14,12th out of 85,66,6.62,10.00,REINFORCE,6th out of 14,13th out of 82,23,191,0.30,8.00,4,INTERVENE,33,108,4,191,0.25,1.50,17,INTERVENE,38,117,1.76,8.00,22,INTERVENE,6,117,0.36,1.50,24,INTERVENE,57,171,3.73,8.00,47,WATCH,5,171,0.28,1.50,19,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.18,0.00,6.50,0,INTERVENE,-1.81,0.00,6.50,0,INTERVENE,1.83,6.13,6.50,94,MODEL,99,346,7.61,8.00,95,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.34,0.00,1.50,0,INTERVENE,0.19,0.60,1.50,40,WATCH,1.01,1.01,1.50,67,REINFORCE,66,496,7.28,8.00,91,MODEL,22,496,8,496,2,496,2,496,98,452,6.00,6.00,100,MODEL,100,496,0.50,0.50,100,MODEL,99,496,2.43,2.50,97,MODEL,56,0.56,1.00,56,REINFORCE,0,0.00,1.00,0,INTERVENE,4,0.00,1.00,0,INTERVENE,95,120,3.60,4.50,80,MODEL,75,115,1.36,1.50,91,MODEL,4,113,0.00,1.00,0,INTERVENE,12,113,83,113,25,113,0.37,1.00,37,WATCH,73,113,2,113,83,113,1.00,1.00,100,MODEL,30,0.30,1.00,30,WATCH,36,64,73,55
Overbrook High School,402,4020,HS,High School,5898 Lancaster Ave.,Philadelphia,PA,19131,215-400-7300,215-400-7301,District,N/A,485,philasd.org/overbrookhs,'9-12',Neighborhood,HS-2,Network 13,Network 13,,8,7.92,96.50,INTERVENE,9th out of 10,83rd out of 85,0,0.04,28.50,INTERVENE,6th out of 7,69th out of 72,13,4.94,38.00,INTERVENE,9th out of 10,80th out of 85,11,2.20,20.00,INTERVENE,10th out of 10,85th out of 85,7,0.75,10.00,INTERVENE,6th out of 8,74th out of 82,1,164,0.00,8.00,0,INTERVENE,0,76,1,164,0.04,1.50,2,INTERVENE,7,84,0.00,8.00,0,INTERVENE,0,84,0.00,1.50,0,INTERVENE,10,83,0.00,8.00,0,INTERVENE,0,83,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.47,0.00,6.50,0,INTERVENE,-1.44,0.00,6.50,0,INTERVENE,-3.72,0.00,6.50,0,INTERVENE,79,211,2.31,8.00,29,WATCH,35,91,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.32,1.16,1.50,77,MODEL,1.94,1.47,1.50,98,MODEL,-1.61,0.00,1.50,0,INTERVENE,12,646,0.00,8.00,0,INTERVENE,17,646,13,646,10,646,48,646,77,414,1.09,6.00,18,INTERVENE,100,646,0.49,0.50,99,MODEL,72,646,0.19,2.50,8,INTERVENE,43,0.43,1.00,43,WATCH,0,0.00,1.00,0,INTERVENE,2,0.00,1.00,0,INTERVENE,47,152,0.00,4.50,0,INTERVENE,36,77,0.31,1.50,21,INTERVENE,0,81,0.00,1.00,0,INTERVENE,7,81,93,81,1,81,0.00,1.00,0,INTERVENE,75,81,23,81,33,81,0.17,1.00,17,INTERVENE,27,0.27,1.00,27,WATCH,0,88,56,42
High School of Engineering and Science,403,4030,HS,High School,1600 W. Norris St.,Philadelphia,PA,19121,215-400-7380,215-400-7381,District,N/A,816,philasd.org/hses,'9-12',Special Admit,HS-5,Network 4,Network 1,,80,72.32,90.50,MODEL,1st out of 14,3rd out of 85,75,21.49,28.50,MODEL,1st out of 14,3rd out of 72,76,24.17,32.00,MODEL,2nd out of 14,12th out of 85,92,18.35,20.00,MODEL,2nd out of 14,3rd out of 85,83,8.31,10.00,MODEL,1st out of 14,5th out of 82,73,132,5.27,8.00,66,REINFORCE,73,125,29,132,1.50,1.50,100,MODEL,78,197,5.82,8.00,73,REINFORCE,30,197,1.50,1.50,100,MODEL,90,202,7.01,8.00,88,MODEL,6,202,0.39,1.50,26,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,2.51,6.50,6.50,100,MODEL,0.52,3.29,6.50,51,REINFORCE,1.61,5.66,6.50,87,MODEL,93,576,6.24,8.00,78,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.79,0.90,1.50,60,REINFORCE,-0.56,0.22,1.50,15,INTERVENE,1.74,1.37,1.50,91,MODEL,77,822,8.00,8.00,100,MODEL,16,822,4,822,1,822,2,822,98,800,6.00,6.00,100,MODEL,100,822,0.49,0.50,98,MODEL,99,822,2.41,2.50,96,MODEL,51,0.51,1.00,51,REINFORCE,89,0.89,1.00,89,MODEL,12,0.05,1.00,5,INTERVENE,99,218,4.25,4.50,94,MODEL,79,215,1.46,1.50,97,MODEL,22,216,0.31,1.00,31,WATCH,53,216,25,216,61,216,1.00,1.00,100,MODEL,38,216,1,216,87,216,1.00,1.00,100,MODEL,29,0.29,1.00,29,WATCH,74,26,83,45
Murrell Dobbins Career and Technical High School,406,4060,HS,High School,2150 W. Lehigh Ave.,Philadelphia,PA,19132,215-400-7050,215-400-7051,District,N/A,714,philasd.org/dobbins,'9-12',Citywide,HS-1,Network 4,Network 4,,23,20.67,90.50,INTERVENE,9th out of 19,62nd out of 85,0,0.03,28.50,INTERVENE,12th out of 14,70th out of 72,22,7.15,32.00,INTERVENE,11th out of 19,69th out of 85,45,8.91,20.00,WATCH,11th out of 19,67th out of 85,46,4.58,10.00,WATCH,5th out of 19,35th out of 82,1,376,0.00,8.00,0,INTERVENE,1,262,0,376,0.00,1.50,0,INTERVENE,3,228,0.00,8.00,0,INTERVENE,0,228,0.03,1.50,2,INTERVENE,10,228,0.00,8.00,0,INTERVENE,0,228,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-11.37,0.00,6.50,0,INTERVENE,-4.23,0.00,6.50,0,INTERVENE,-4.17,0.00,6.50,0,INTERVENE,93,517,6.19,8.00,77,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.54,0.23,1.50,15,INTERVENE,0.45,0.73,1.50,48,WATCH,-3.84,0.00,1.50,0,INTERVENE,24,724,0.71,8.00,9,INTERVENE,27,724,18,724,10,724,21,724,89,686,6.00,6.00,100,MODEL,100,724,0.50,0.50,100,MODEL,85,724,1.23,2.50,49,WATCH,47,0.47,1.00,47,WATCH,0,0.00,1.00,0,INTERVENE,5,0.00,1.00,0,INTERVENE,88,137,2.27,4.50,50,REINFORCE,46,120,0.57,1.50,38,WATCH,48,118,0.96,1.00,96,MODEL,48,118,3,118,1,124,0.00,1.00,0,INTERVENE,88,124,11,124,51,124,0.52,1.00,52,REINFORCE,28,0.28,1.00,28,WATCH,24,76,67,39
Strawberry Mansion High School,414,4140,HS,High School,3133 Ridge Ave.,Philadelphia,PA,19121,215-400-7500,215-400-7501,District,Acceleration,169,philasd.org/smhs,'10-12',Neighborhood,HS-2,Network 11,Network 4,,18,17.00,95.00,INTERVENE,7th out of 10,73rd out of 85,0,0.00,28.50,INTERVENE,7th out of 7,72nd out of 72,28,10.14,36.50,WATCH,6th out of 10,58th out of 85,30,5.91,20.00,WATCH,6th out of 10,76th out of 85,9,0.95,10.00,INTERVENE,5th out of 8,72nd out of 82,1,68,0.00,8.00,0,INTERVENE,Not Applicable,Not Applicable,0,68,0.00,1.50,0,INTERVENE,5,57,0.00,8.00,0,INTERVENE,0,57,0.00,1.50,0,INTERVENE,8,71,0.00,8.00,0,INTERVENE,0,71,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.34,2.90,6.50,45,WATCH,0.18,2.56,6.50,39,WATCH,-1.33,0.00,6.50,0,INTERVENE,85,41,4.10,8.00,51,REINFORCE,33,27,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.17,0.59,1.50,39,WATCH,-1.47,0.00,1.50,0,INTERVENE,17,220,0.00,8.00,0,INTERVENE,15,220,9,220,12,220,46,220,80,141,3.08,6.00,51,REINFORCE,91,220,0.07,0.50,14,INTERVENE,84,220,1.17,2.50,47,WATCH,53,0.53,1.00,53,REINFORCE,75,0.75,1.00,75,MODEL,22,0.31,1.00,31,WATCH,57,70,0.00,4.50,0,INTERVENE,27,51,0.07,1.50,4,INTERVENE,0,50,0.00,1.00,0,INTERVENE,8,50,92,50,0,50,0.00,1.00,0,INTERVENE,68,50,32,50,50,50,0.50,1.00,50,REINFORCE,38,0.38,1.00,38,WATCH,0,82,45,46
