School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Furness High School,216,2160,HS,High School,1900 S. 3rd St.,Philadelphia,PA,19148,215-400-8300,215-400-8301,District,N/A,669,philasd.org/furness,'9-12',Neighborhood,HS-6,Network 3,Network 13,26,25.79,98,WATCH,9th out of 10,53rd out of 83,3,0.79,30,INTERVENE,10th out of 10,54th out of 77,30,11.24,38,WATCH,8th out of 10,44th out of 83,61,12.24,20,REINFORCE,6th out of 10,43rd out of 83,15,1.52,10,INTERVENE,10th out of 10,62nd out of 81,8,313,0,8,0,INTERVENE,10,144,3,313,0.15,1.5,10,INTERVENE,19,193,0,8,0,INTERVENE,5,193,0.28,1.5,19,INTERVENE,16,183,0,8,0,INTERVENE,0,183,0,1.5,0,INTERVENE,7,339,0.36,1.5,24,INTERVENE,-3.1,0,6.5,0,INTERVENE,-0.06,2.04,6.5,31,WATCH,-4.5,0,6.5,0,INTERVENE,92,357,5.91,8,74,REINFORCE,56,41,1.93,6,32,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.27,0.64,1.5,42,WATCH,0.45,0.73,1.5,48,WATCH,-3.1,0,1.5,0,INTERVENE,38,766,2.94,8,37,WATCH,22,766,11,766,5,766,23,766,86,626,6,6,100,MODEL,100,766,0.49,0.5,97,MODEL,87,766,1.39,2.5,56,REINFORCE,51,0.51,1,51,REINFORCE,74,0.74,1,74,REINFORCE,17,0.18,1,18,INTERVENE,76,162,0.17,4.5,4,INTERVENE,45,149,0.54,1.5,36,WATCH,8,147,0,1,0,INTERVENE,22,147,70,147,6,147,0,1,0,INTERVENE,82,147,12,147,50,147,0.51,1,51,REINFORCE,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,72,48
Franklin Learning Center,229,2290,HS,High School,616 N. 15th St.,Philadelphia,PA,19130,215-400-7570,215-400-7571,District,N/A,888,philasd.org/flc,'9-12',Special Admit,HS-4,Autonomy,Network 3,48,47.32,98,WATCH,6th out of 9,21st out of 83,21,6.27,30,INTERVENE,7th out of 9,19th out of 77,54,20.52,38,REINFORCE,4th out of 9,26th out of 83,82,16.43,20,MODEL,6th out of 9,15th out of 83,41,4.1,10,WATCH,9th out of 9,39th out of 81,17,410,0,8,0,INTERVENE,16,192,2,410,0.15,1.5,10,INTERVENE,33,281,1.27,8,16,INTERVENE,6,281,0.34,1.5,23,INTERVENE,59,217,3.85,8,48,WATCH,3,217,0.19,1.5,13,INTERVENE,8,211,0.46,1.5,31,WATCH,-6.04,0,6.5,0,INTERVENE,-3.82,0,6.5,0,INTERVENE,4.32,6.5,6.5,100,MODEL,97,585,7.13,8,89,MODEL,84,45,5.33,6,89,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.42,0,1.5,0,INTERVENE,-0.89,0.06,1.5,4,INTERVENE,1.99,1.5,1.5,100,MODEL,58,939,6.02,8,75,MODEL,23,939,8,939,5,939,7,939,89,860,6,6,100,MODEL,100,939,0.5,0.5,100,MODEL,100,939,2.47,2.5,99,MODEL,55,0.55,1,55,REINFORCE,73,0.73,1,73,REINFORCE,17,0.16,1,16,INTERVENE,85,195,1.73,4.5,38,WATCH,54,165,0.79,1.5,53,REINFORCE,29,171,0.48,1,48,WATCH,26,171,44,171,10,171,0,1,0,INTERVENE,81,171,9,171,62,171,0.74,1,74,REINFORCE,36,0.36,1,36,WATCH,Data Not Available,Data Not Available,52,46
Girard Academic Music Program,241,2410,HS,High School,2136 W. Ritner St.,Philadelphia,PA,19145,215-400-8230,215-400-8231,District,N/A,253,philasd.org/gamp,'9-12',Special Admit,HS-5,Autonomy,Network 1,68,61.4,90.5,REINFORCE,5th out of 9,8th out of 83,62,17.77,28.5,REINFORCE,3rd out of 9,5th out of 77,60,19.13,32,REINFORCE,4th out of 9,22nd out of 83,82,16.47,20,MODEL,7th out of 9,14th out of 83,80,8.04,10,MODEL,4th out of 9,5th out of 81,53,58,3.35,8,42,WATCH,61,38,10,58,0.62,1.5,41,WATCH,68,78,4.8,8,60,REINFORCE,22,78,1.31,1.5,87,MODEL,88,68,6.82,8,85,MODEL,15,68,0.88,1.5,59,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.13,0,6.5,0,INTERVENE,0.2,2.6,6.5,40,WATCH,2.58,6.5,6.5,100,MODEL,99,184,7.86,8,98,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.14,0,1.5,0,INTERVENE,1.14,1.07,1.5,71,REINFORCE,1.2,1.1,1.5,73,REINFORCE,63,256,6.86,8,86,MODEL,23,256,9,256,3,256,2,256,98,251,6,6,100,MODEL,100,256,0.5,0.5,100,MODEL,100,256,2.47,2.5,99,MODEL,64,0.64,1,64,REINFORCE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,100,59,4.5,4.5,100,MODEL,81,59,1.5,1.5,100,MODEL,12,59,0.05,1,5,INTERVENE,46,59,42,59,37,59,0.68,1,68,REINFORCE,56,59,7,59,78,59,1,1,100,MODEL,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,68,54
Academy at Palumbo,262,2620,HS,High School,1100 Catharine St.,Philadelphia,PA,19147,215-400-8130,215-400-8131,District,N/A,924,philasd.org/palumbo,'9-12',Special Admit,HS-6,Autonomy,Network 1,74,68.32,92,REINFORCE,1st out of 10,5th out of 83,66,19.86,30,REINFORCE,1st out of 10,4th out of 77,68,21.86,32,REINFORCE,2nd out of 10,18th out of 83,93,18.66,20,MODEL,1st out of 10,1st out of 83,79,7.94,10,MODEL,1st out of 10,8th out of 81,60,270,4.04,8,50,REINFORCE,67,204,18,270,1.09,1.5,73,REINFORCE,63,328,4.28,8,54,REINFORCE,17,328,1.02,1.5,68,REINFORCE,89,208,6.89,8,86,MODEL,17,208,1.04,1.5,69,REINFORCE,61,28,1.5,1.5,100,MODEL,1.74,5.94,6.5,91,MODEL,-1.39,0,6.5,0,INTERVENE,7.45,6.5,6.5,100,MODEL,98,661,7.6,8,95,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.38,0,1.5,0,INTERVENE,-0.34,0.33,1.5,22,INTERVENE,4.26,1.5,1.5,100,MODEL,74,930,8,8,100,MODEL,17,930,4,930,1,930,3,930,97,908,6,6,100,MODEL,100,930,0.5,0.5,100,MODEL,99,930,2.46,2.5,98,MODEL,59,0.59,1,59,REINFORCE,80,0.8,1,80,MODEL,23,0.32,1,32,WATCH,96,224,3.86,4.5,86,MODEL,82,216,1.5,1.5,100,MODEL,24,218,0.35,1,35,WATCH,41,218,35,218,46,218,0.9,1,90,MODEL,53,218,1,218,86,218,1,1,100,MODEL,34,0.34,1,34,WATCH,Data Not Available,Data Not Available,80,48
Science Leadership Academy,265,2650,HS,High School,55 N. 22nd St.,Philadelphia,PA,19103,215-400-7830,215-400-7831,District,N/A,501,philasd.org/sla,'9-12',Special Admit,HS-5,Innovation,Innovation,65,59.16,90.5,REINFORCE,6th out of 9,9th out of 83,59,16.76,28.5,REINFORCE,5th out of 9,7th out of 77,49,15.8,32,WATCH,6th out of 9,31st out of 83,93,18.55,20,MODEL,1st out of 9,2nd out of 83,80,8.04,10,MODEL,3rd out of 9,4th out of 81,46,147,2.56,8,32,WATCH,56,103,15,147,0.9,1.5,60,REINFORCE,68,122,4.8,8,60,REINFORCE,19,122,1.13,1.5,75,MODEL,83,124,6.31,8,79,MODEL,18,124,1.06,1.5,71,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.51,0,6.5,0,INTERVENE,-3.9,0,6.5,0,INTERVENE,2.64,6.5,6.5,100,MODEL,100,339,7.92,8,99,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.81,0,1.5,0,INTERVENE,-1.42,0,1.5,0,INTERVENE,1.76,1.38,1.5,92,MODEL,70,506,8,8,100,MODEL,22,506,4,506,1,506,2,506,97,493,6,6,100,MODEL,100,506,0.5,0.5,100,MODEL,97,506,2.29,2.5,91,MODEL,65,0.65,1,65,REINFORCE,88,0.88,1,88,MODEL,19,0.23,1,23,INTERVENE,98,125,4.07,4.5,90,MODEL,84,123,1.5,1.5,100,MODEL,16,125,0.15,1,15,INTERVENE,6,125,78,125,47,125,0.93,1,93,MODEL,47,125,6,125,87,125,1,1,100,MODEL,39,0.39,1,39,WATCH,Data Not Available,Data Not Available,66,60
Constitution High School,267,2670,HS,High School,18 S. 7th St.,Philadelphia,PA,19106,215-400-7850,215-400-7851,District,N/A,393,philasd.org/constitutionhs,'9-12',Citywide,HS-4,Network 3,Network 3,46,41.58,90.5,WATCH,8th out of 9,27th out of 83,14,3.88,28.5,INTERVENE,8th out of 9,25th out of 77,47,14.91,32,WATCH,6th out of 9,33rd out of 83,79,15.71,20,MODEL,8th out of 9,20th out of 83,71,7.08,10,REINFORCE,4th out of 9,12th out of 81,25,165,0.55,8,7,INTERVENE,30,96,2,165,0.11,1.5,7,INTERVENE,20,107,0,8,0,INTERVENE,0,107,0,1.5,0,INTERVENE,51,98,3.1,8,39,WATCH,2,98,0.12,1.5,8,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,2.2,6.5,6.5,100,MODEL,-8.36,0,6.5,0,INTERVENE,-2.63,0,6.5,0,INTERVENE,97,281,7.24,8,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.33,1.17,1.5,78,MODEL,-2.18,0,1.5,0,INTERVENE,-1.58,0,1.5,0,INTERVENE,60,398,6.41,8,80,MODEL,25,398,7,398,3,398,5,398,97,390,6,6,100,MODEL,100,398,0.5,0.5,100,MODEL,96,398,2.21,2.5,88,MODEL,60,0.6,1,60,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,99,89,4.3,4.5,96,MODEL,75,89,1.37,1.5,91,MODEL,11,87,0.04,1,4,INTERVENE,82,87,7,87,10,87,0.01,1,1,INTERVENE,90,87,0,87,82,87,1,1,100,MODEL,37,0.37,1,37,WATCH,Data Not Available,Data Not Available,81,48
The Science Leadership Academy at Beeber,268,2680,HS,High School,5925 Malvern Ave.,Philadelphia,PA,19131,215-400-7270,215-400-7271,District,N/A,484,philasd.org/slabeeber,'9-12',Special Admit,HS-4,Innovation,Innovation,55,50.06,90.5,REINFORCE,4th out of 9,16th out of 83,33,9.27,28.5,WATCH,5th out of 9,15th out of 77,54,17.19,32,REINFORCE,5th out of 9,27th out of 83,85,16.92,20,MODEL,5th out of 9,13th out of 83,67,6.68,10,REINFORCE,7th out of 9,15th out of 81,35,172,1.55,8,19,INTERVENE,43,114,6,172,0.35,1.5,23,INTERVENE,45,109,2.5,8,31,WATCH,6,109,0.39,1.5,26,WATCH,64,146,4.37,8,55,REINFORCE,2,146,0.12,1.5,8,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.38,1.34,6.5,21,INTERVENE,-2.69,0,6.5,0,INTERVENE,2.65,6.5,6.5,100,MODEL,99,320,7.75,8,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.72,0.14,1.5,9,INTERVENE,-1.02,0,1.5,0,INTERVENE,1.92,1.46,1.5,97,MODEL,76,498,8,8,100,MODEL,18,498,4,498,1,498,1,498,96,475,6,6,100,MODEL,100,498,0.49,0.5,98,MODEL,99,498,2.43,2.5,97,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,96,128,3.8,4.5,84,MODEL,84,123,1.5,1.5,100,MODEL,0,123,0,1,0,INTERVENE,11,123,89,123,25,123,0.38,1,38,WATCH,73,123,2,123,83,123,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,79,0
Overbrook High School,402,4020,HS,High School,5898 Lancaster Ave.,Philadelphia,PA,19131,215-400-7300,215-400-7301,District,N/A,568,philasd.org/overbrookhs,'9-12',Neighborhood,HS-1,Network 2,Network 13,7,6.92,96.5,INTERVENE,22nd out of 23,82nd out of 83,0,0.09,28.5,INTERVENE,11th out of 19,62nd out of 77,14,5.43,38,INTERVENE,15th out of 23,72nd out of 83,3,0.7,20,INTERVENE,23rd out of 23,83rd out of 83,7,0.69,10,INTERVENE,14th out of 22,73rd out of 81,3,160,0,8,0,INTERVENE,1,76,0,160,0,1.5,0,INTERVENE,1,81,0,8,0,INTERVENE,0,81,0,1.5,0,INTERVENE,21,43,0.09,8,1,INTERVENE,0,43,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.25,0,6.5,0,INTERVENE,-3.18,0,6.5,0,INTERVENE,-2.41,0,6.5,0,INTERVENE,79,213,2.49,8,31,WATCH,55,104,1.78,6,30,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.19,0.6,1.5,40,WATCH,0.14,0.57,1.5,38,WATCH,-1.77,0,1.5,0,INTERVENE,16,742,0,8,0,INTERVENE,13,742,13,742,10,742,48,742,64,520,0,6,0,INTERVENE,99,742,0.47,0.5,93,MODEL,73,742,0.23,2.5,9,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,50,151,0,4.5,0,INTERVENE,33,84,0.23,1.5,15,INTERVENE,0,87,0,1,0,INTERVENE,1,87,99,87,0,87,0,1,0,INTERVENE,74,87,26,87,48,87,0.47,1,47,WATCH,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,43,0
High School of Engineering and Science,403,4030,HS,High School,1600 W. Norris St.,Philadelphia,PA,19121,215-400-7380,215-400-7381,District,N/A,777,philasd.org/hses,'9-12',Special Admit,HS-4,Autonomy,Network 4,82,73.91,90.5,MODEL,1st out of 9,2nd out of 83,72,20.65,28.5,REINFORCE,1st out of 9,3rd out of 77,84,26.84,32,MODEL,2nd out of 9,10th out of 83,92,18.31,20,MODEL,2nd out of 9,5th out of 83,81,8.11,10,MODEL,1st out of 9,3rd out of 81,68,194,4.75,8,59,REINFORCE,78,138,19,194,1.11,1.5,74,REINFORCE,73,244,5.34,8,67,REINFORCE,28,244,1.5,1.5,100,MODEL,90,197,7.04,8,88,MODEL,15,197,0.91,1.5,61,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,2.21,6.5,6.5,100,MODEL,0.43,3.1,6.5,48,WATCH,3.54,6.5,6.5,100,MODEL,97,585,7.32,8,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.45,1.23,1.5,82,MODEL,0.4,0.7,1.5,47,WATCH,2.98,1.5,1.5,100,MODEL,77,785,8,8,100,MODEL,16,785,4,785,2,785,2,785,98,762,6,6,100,MODEL,100,785,0.49,0.5,99,MODEL,99,785,2.39,2.5,96,MODEL,57,0.57,1,57,REINFORCE,85,0.85,1,85,MODEL,10,0,1,0,INTERVENE,98,156,4.15,4.5,92,MODEL,79,154,1.48,1.5,99,MODEL,14,154,0.09,1,9,INTERVENE,56,154,30,154,51,154,1,1,100,MODEL,49,154,0,154,83,154,1,1,100,MODEL,39,0.39,1,39,WATCH,Data Not Available,Data Not Available,85,43
Murrell Dobbins Career and Technical High School,406,4060,HS,High School,2150 W. Lehigh Ave.,Philadelphia,PA,19132,215-400-7050,215-400-7051,District,N/A,610,philasd.org/dobbins,'9-12',Citywide,HS-2,Network 4,Network 4,22,19.71,90.5,INTERVENE,13th out of 17,62nd out of 83,0,0.05,28.5,INTERVENE,15th out of 17,68th out of 77,22,6.92,32,INTERVENE,14th out of 17,58th out of 83,39,7.73,20,WATCH,13th out of 17,63rd out of 83,50,5.02,10,REINFORCE,2nd out of 16,24th out of 81,2,304,0,8,0,INTERVENE,1,138,0,304,0,1.5,0,INTERVENE,4,266,0,8,0,INTERVENE,1,266,0.05,1.5,3,INTERVENE,11,263,0,8,0,INTERVENE,0,263,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-7.3,0,6.5,0,INTERVENE,-4.57,0,6.5,0,INTERVENE,-8.14,0,6.5,0,INTERVENE,91,449,5.57,8,70,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.27,0.64,1.5,42,WATCH,0.44,0.72,1.5,48,WATCH,-4.39,0,1.5,0,INTERVENE,26,621,1,8,13,INTERVENE,26,621,18,621,10,621,19,621,83,587,4.57,6,76,MODEL,100,621,0.5,0.5,100,MODEL,83,621,1.12,2.5,45,WATCH,54,0.54,1,54,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,88,94,2.39,4.5,53,REINFORCE,46,84,0.58,1.5,39,WATCH,46,82,0.91,1,91,MODEL,44,82,10,82,3,89,0,1,0,INTERVENE,80,89,17,89,63,89,0.76,1,76,MODEL,37,0.37,1,37,WATCH,Data Not Available,Data Not Available,71,42
Strawberry Mansion High School,414,4140,HS,High School,3133 Ridge Ave.,Philadelphia,PA,19121,215-400-7500,215-400-7501,District,Turnaround,293,philasd.org/smhs,'9-12',Neighborhood,HS-1,Turnaround,Network 11,7,7.04,95,INTERVENE,21st out of 23,81st out of 83,0,0,28.5,INTERVENE,19th out of 19,77th out of 77,15,5.62,36.5,INTERVENE,13th out of 23,70th out of 83,5,0.99,20,INTERVENE,21st out of 23,81st out of 83,4,0.44,10,INTERVENE,18th out of 22,77th out of 81,1,97,0,8,0,INTERVENE,0,38,0,97,0,1.5,0,INTERVENE,0,49,0,8,0,INTERVENE,0,49,0,1.5,0,INTERVENE,14,72,0,8,0,INTERVENE,0,72,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.01,2.15,6.5,33,WATCH,-0.06,2.04,6.5,31,WATCH,-0.98,0.04,6.5,1,INTERVENE,58,69,0,8,0,INTERVENE,33,39,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.28,1.14,1.5,76,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.49,0.26,1.5,17,INTERVENE,14,403,0,8,0,INTERVENE,14,403,10,403,12,403,49,403,54,247,0,6,0,INTERVENE,100,403,0.5,0.5,100,MODEL,68,403,0,2.5,0,INTERVENE,49,0.49,1,49,WATCH,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,40,98,0,4.5,0,INTERVENE,26,46,0.03,1.5,2,INTERVENE,0,59,0,1,0,INTERVENE,12,59,88,59,0,59,0,1,0,INTERVENE,56,59,44,59,29,59,0.08,1,8,INTERVENE,33,0.33,1,33,WATCH,Data Not Available,Data Not Available,41,35
Thomas A. Edison High School,502,5020,HS,High School,151 W. Luzerne St.,Philadelphia,PA,19140,215-400-3900,215-400-3901,District,Turnaround,1055,philasd.org/edison,'9-12',Neighborhood,HS-1,Turnaround,Acceleration,8,7.64,98,INTERVENE,20th out of 23,80th out of 83,0,0.03,30,INTERVENE,16th out of 19,72nd out of 77,12,4.42,38,INTERVENE,19th out of 23,78th out of 83,9,1.86,20,INTERVENE,18th out of 23,78th out of 83,13,1.32,10,INTERVENE,9th out of 22,67th out of 81,2,546,0,8,0,INTERVENE,3,224,0,546,0.01,1.5,1,INTERVENE,4,267,0,8,0,INTERVENE,0,267,0.02,1.5,1,INTERVENE,15,219,0,8,0,INTERVENE,0,219,0,1.5,0,INTERVENE,0,272,0,1.5,0,INTERVENE,-6.53,0,6.5,0,INTERVENE,-3,0,6.5,0,INTERVENE,-4.07,0,6.5,0,INTERVENE,81,495,2.88,8,36,WATCH,17,77,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.55,0.23,1.5,15,INTERVENE,1.62,1.31,1.5,87,MODEL,-2.21,0,1.5,0,INTERVENE,19,1296,0,8,0,INTERVENE,21,1296,14,1296,10,1296,36,1296,69,991,0,6,0,INTERVENE,100,1296,0.5,0.5,100,MODEL,81,1296,0.91,2.5,36,WATCH,46,0.46,1,46,WATCH,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,56,280,0,4.5,0,INTERVENE,26,164,0.02,1.5,1,INTERVENE,41,169,0.77,1,77,MODEL,22,169,37,169,1,169,0,1,0,INTERVENE,68,169,31,169,36,169,0.22,1,22,INTERVENE,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,68,37
